Your interest in healthy eating has increased;You became aware of the importance of maintaining a good diet and leading a healthy lifestyle to prevent diseases.;All your doubts about nutrition, health, and microbiome were solved;Photovoice activity was useful;Topics covered aroused your interest;Focus group sessions were easy-to-follow;The material provided was easy to compliment;The project has met your expectations.;You would recommend participating in the project 
5;5;5;5;5;5;5;5;5
5;5;3;3;3;4;5;4;4
3;4;5;4;5;5;5;5;5
5;5;5;4;5;5;5;4;4
4;4;2;3;4;4;4;4;4
5;4;2;3;3;5;5;3;5
4;3;3;4;4;4;4;4;3
5;5;5;4;5;5;5;5;5
5;5;5;5;5;5;5;5;5
4;5;4;4;4;5;5;4;5
5;5;5;5;5;5;5;5;5
4;2;2;2;3;2;3;1;2
5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;4;4;4;5;5;5;4;4
4;5;4;5;5;5;5;5;5
4;4;3;3;4;4;4;4;5
4;4;5;4;5;5;4;5;5
4;4;5;2;4;5;5;5;4
4;4;5;4;5;5;5;4;5
5;5;4;3;4;5;5;4;5
5;4;4;4;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;4;5;5;5;5;5;4;5
4;5;5;4;5;5;5;5;5
5;5;4;5;5;4;5;5;5
5;5;5;4;5;5;5;5;5
5;5;4;4;5;5;4;5;5
5;5;5;4;5;4;4;5;5
5;5;4;5;5;5;5;5;5
5;5;4;4;5;4;4;4;4
5;4;4;4;5;5;5;5;5
5;5;5;4;5;4;4;5;5
3;1;1;2;2;4;4;2;2
4;4;4;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5
5;5;5;4;5;5;5;5;5
5;5;4;4;5;5;5;4;5
4;4;4;4;5;4;5;5;5
4;5;5;5;5;5;4;5;5
5;5;4;3;5;5;5;5;5
5;5;5;4;5;5;5;5;5
5;4;5;3;4;4;5;4;5
3;4;3;3;4;4;4;4;4
5;4;4;5;5;5;3;4;5
4;5;4;4;5;5;4;5;5
4;5;4;4;4;5;5;4;4
4;4;5;3;5;5;5;3;3
5;5;4;5;5;5;3;5;5
5;5;5;5;5;5;5;5;5
5;4;5;4;5;5;5;4;5
5;5;5;5;5;4;4;5;5
4;5;4;4;5;5;5;5;5
5;5;5;5;5;5;5;5;5
